Model,Mean_accuracy,Mean_auc,Mean_precision,Mean_recall,Mean_f1,Mean_mcc,Std_accuracy,Std_auc,Std_precision,Std_recall,Std_f1,Std_mcc
Elastic_Net,0.95,1.0,0.99375,0.9491666666666667,0.9668007187473261,0.8859174175631294,0.09765775461803859,0.0,0.01875,0.11120863775404818,0.06756568590889406,0.18241526596827345
RF_Weighted,0.9333333333333333,0.9922222222222222,0.9343872549019607,0.9933333333333334,0.9620650048875854,0.7056360534219565,0.054433105395181744,0.01222222222222218,0.053453072810525595,0.019999999999999997,0.030417950114287676,0.2905190002785539
XGBoost,0.9444444444444444,0.9924305555555556,0.9628186274509805,0.9741666666666667,0.9675060252132,0.793183324629119,0.03513641844631534,0.011795134289241225,0.040223724650983714,0.03166666666666666,0.02045503542827259,0.13701086904395562
Boruta_RF,0.95,0.9911111111111112,0.9514705882352942,0.9933333333333334,0.9711484983314793,0.8083589975795735,0.0388888888888889,0.014740554623801751,0.04444729782266887,0.019999999999999997,0.021999545591019055,0.15930869544350576
